TRANSACTION_ID,CLIENT_ID,PRODUCT_CODE,QUANTITY,UNIT_PRICE,TRANSACTION_DATE,STATUS
59,110,BOM-A100,39,418.88,2025-08-18 18:10:18.636326,Finalizat
60,104,BOM-B200,66,171.68,2025-08-03 18:10:18.636326,Finalizat
61,102,bom-a100,66,119.25,2025-10-09 18:10:18.636326,In Procesare
62,110,BOM-C300,65,92.2,2025-12-02 18:10:18.636326,Finalizat
63,103,bom-a100,22,210.44,2025-04-30 18:10:18.636326,Finalizat
64,102,BOM-B200,36,442.12,2026-02-20 18:10:18.636326,Finalizat
65,110,BOM-B200,51,54.75,2025-06-19 18:10:18.636326,In Procesare
66,101,BOM-C300,55,126.75,2025-10-28 18:10:18.636326,Finalizat
67,103,BOM-B200,45,442.54,2025-09-23 18:10:18.636326,Finalizat
68,103,bom-a100,86,386.91,2025-08-07 18:10:18.636326,Finalizat
69,109,BOM-A100,49,301.92,2025-08-11 18:10:18.636326,Finalizat
70,101,bom-a100,11,299.73,2025-09-13 18:10:18.636326,
71,109,BOM-A100,42,103.87,2026-04-12 18:10:18.636326,Finalizat
72,106,BOM-A100,36,135.25,2025-10-22 18:10:18.636326,Finalizat
73,105,Bom-B200,83,363.52,2025-07-21 18:10:18.636326,Finalizat
74,102,bom-a100,64,256.24,2026-02-27 18:10:18.636326,Finalizat
75,110,bom-a100,75,100.15,2025-11-26 18:10:18.636326,Finalizat
76,107,Bom-B200,28,118.35,2025-12-13 18:10:18.636326,Finalizat
77,101,bom-a100,56,21.24,2025-04-19 18:10:18.636326,In Procesare
78,107,Bom-B200,56,408.44,2025-10-17 18:10:18.636326,Finalizat
79,106,BOM-A100,16,344.85,2026-03-27 18:10:18.636326,In Procesare
80,109,BOM-C300,17,424.01,2025-08-01 18:10:18.636326,Finalizat
81,104,BOM-B200,58,78.28,2026-03-21 18:10:18.636326,Finalizat
82,106,Bom-B200,73,159.91,2025-12-13 18:10:18.636326,In Procesare
83,102,Bom-B200,25,457.99,2026-01-13 18:10:18.636326,Finalizat
84,106,BOM-A100,0,227.81,2025-07-06 18:10:18.636326,In Procesare
85,104,bom-a100,49,150.87,2025-07-29 18:10:18.636326,Finalizat
86,104,Bom-B200,41,197.08,2025-06-03 18:10:18.636326,
87,107,BOM-B200,2,66.8,2025-12-17 18:10:18.636326,In Procesare
88,108,Bom-B200,52,246.86,2025-10-28 18:10:18.636326,Finalizat
89,110,BOM-A100,57,383.34,2025-11-05 18:10:18.636326,Finalizat
90,102,BOM-C300,75,271.33,2025-04-20 18:10:18.636326,Finalizat
91,105,Bom-B200,17,379.92,2025-07-14 18:10:18.636326,Finalizat
92,108,BOM-B200,29,58.9,2025-11-21 18:10:18.636326,Finalizat
93,102,Bom-B200,33,35.39,2025-09-09 18:10:18.636326,Finalizat
94,106,Bom-B200,61,376.94,2025-05-12 18:10:18.636326,Finalizat
95,102,bom-a100,23,201.42,2026-04-15 18:10:18.636326,Finalizat
96,101,BOM-A100,25,333.84,2025-08-18 18:10:18.636326,Anulat
97,107,BOM-C300,50,89.59,2025-11-30 18:10:18.636326,In Procesare
98,104,BOM-C300,31,139.0,2025-10-31 18:10:18.636326,
99,110,BOM-B200,61,87.05,2026-01-15 18:10:18.636326,Anulat
100,103,BOM-C300,28,136.49,2025-05-10 18:10:18.636326,Finalizat
101,103,Bom-B200,24,345.93,2025-04-18 18:10:18.636326,Finalizat
102,103,BOM-A100,70,286.22,2025-07-31 18:10:18.636326,Finalizat
103,101,BOM-B200,63,145.57,2025-07-09 18:10:18.636326,Finalizat
104,103,BOM-C300,71,283.61,2025-09-25 18:10:18.636326,
105,109,BOM-C300,29,388.62,2026-01-01 18:10:18.636326,Finalizat
106,105,BOM-C300,64,166.73,2025-09-06 18:10:18.636326,Finalizat
107,109,Bom-B200,18,403.54,2025-07-05 18:10:18.636326,Finalizat
108,104,Bom-B200,68,99.29,2026-03-11 18:10:18.636326,Finalizat
109,106,Bom-B200,66,352.96,2026-03-12 18:10:18.636326,Finalizat
110,108,Bom-B200,54,15.81,2025-05-16 18:10:18.636326,Finalizat
111,104,BOM-C300,-3,116.94,2026-01-17 18:10:18.636326,
112,102,bom-a100,85,176.27,2025-10-21 18:10:18.636326,Finalizat
113,101,BOM-C300,51,352.23,2025-11-07 18:10:18.636326,In Procesare
114,102,Bom-B200,49,178.6,2026-02-10 18:10:18.636326,Finalizat
115,110,BOM-B200,51,45.75,2025-07-30 18:10:18.636326,Finalizat
116,101,Bom-B200,52,102.09,2025-11-01 18:10:18.636326,In Procesare
117,108,Bom-B200,42,259.88,2026-04-02 18:10:18.636326,Finalizat
118,105,BOM-C300,31,114.3,2026-01-13 18:10:18.636326,Finalizat
119,108,BOM-C300,33,401.32,2025-07-10 18:10:18.636326,Finalizat
120,103,BOM-B200,50,431.27,2025-10-03 18:10:18.636326,In Procesare
121,110,BOM-B200,47,319.12,2026-03-20 18:10:18.636326,Finalizat
122,108,BOM-C300,19,401.74,2026-01-31 18:10:18.636326,Anulat
123,107,BOM-B200,68,181.6,2025-09-27 18:10:18.636326,Finalizat
124,103,BOM-B200,71,205.51,2026-03-18 18:10:18.636326,
125,109,BOM-A100,37,240.23,2025-07-26 18:10:18.636326,Finalizat
126,110,bom-a100,65,406.07,2026-03-16 18:10:18.636326,Finalizat
127,107,BOM-C300,55,265.57,2025-10-11 18:10:18.636326,Finalizat
128,107,BOM-C300,37,62.74,2025-05-08 18:10:18.636326,
129,103,BOM-A100,0,288.3,2025-05-05 18:10:18.636326,In Procesare
130,107,BOM-A100,50,50.43,2025-11-11 18:10:18.636326,Finalizat
131,102,BOM-B200,28,103.94,2025-04-20 18:10:18.636326,Finalizat
132,106,BOM-C300,11,403.49,2025-10-26 18:10:18.636326,Finalizat
133,109,bom-a100,80,160.21,2026-02-27 18:10:18.636326,Finalizat
134,103,BOM-A100,50,151.66,2026-04-09 18:10:18.636326,Finalizat
135,110,BOM-A100,59,411.98,2026-01-24 18:10:18.636326,Anulat
136,106,BOM-C300,1,422.78,2026-04-06 18:10:18.636326,Finalizat
137,105,Bom-B200,31,290.74,2025-12-14 18:10:18.636326,Finalizat
138,108,bom-a100,39,493.2,2025-05-04 18:10:18.636326,Finalizat
139,101,BOM-A100,51,151.48,2025-11-16 18:10:18.636326,In Procesare
140,107,bom-a100,-15,492.74,2025-08-27 18:10:18.636326,Finalizat
141,104,BOM-A100,-9,97.88,2025-08-03 18:10:18.636326,Finalizat
142,104,BOM-B200,34,129.25,2026-03-28 18:10:18.636326,Finalizat
143,105,BOM-B200,73,347.29,2025-08-17 18:10:18.636326,Finalizat
144,101,Bom-B200,25,342.0,2025-04-22 18:10:18.636326,Finalizat
145,103,Bom-B200,57,289.0,2025-07-01 18:10:18.636326,Finalizat
146,110,Bom-B200,24,117.69,2025-06-30 18:10:18.636326,Finalizat
147,101,Bom-B200,15,429.59,2025-04-18 18:10:18.636326,Finalizat
148,106,BOM-B200,60,386.29,2025-07-05 18:10:18.636326,Finalizat
149,102,bom-a100,39,161.06,2025-05-02 18:10:18.636326,Finalizat
150,103,BOM-B200,29,63.25,2025-11-17 18:10:18.636326,
151,106,Bom-B200,49,425.63,2025-07-25 18:10:18.636326,In Procesare
152,102,BOM-B200,50,423.65,2025-07-12 18:10:18.636326,Finalizat
153,104,Bom-B200,109,177.48,2025-12-31 18:10:18.636326,Finalizat
154,110,BOM-C300,-15,455.57,2025-08-17 18:10:18.636326,Finalizat
155,104,bom-a100,78,433.63,2025-11-14 18:10:18.636326,Finalizat
156,108,BOM-B200,48,222.8,2026-03-14 18:10:18.636326,Finalizat
157,105,bom-a100,4,444.79,2026-01-29 18:10:18.636326,
158,101,BOM-A100,33,60.49,2025-04-21 18:10:18.636326,Finalizat
159,106,BOM-A100,53,149.92,2025-09-07 18:10:18.636326,Finalizat
160,110,Bom-B200,52,172.97,2025-10-16 18:10:18.636326,In Procesare
161,108,Bom-B200,33,388.08,2025-04-30 18:10:18.636326,Finalizat
162,108,bom-a100,58,78.2,2025-04-27 18:10:18.636326,Finalizat
163,106,BOM-A100,25,394.87,2025-06-19 18:10:18.636326,Finalizat
164,103,BOM-B200,66,104.91,2026-03-06 18:10:18.636326,Finalizat
165,107,BOM-A100,56,365.66,2025-08-30 18:10:18.636326,Finalizat
166,110,BOM-C300,31,275.98,2025-06-27 18:10:18.636326,Finalizat
167,106,BOM-B200,36,172.15,2025-06-05 18:10:18.636326,Finalizat
168,106,BOM-B200,54,480.01,2026-01-06 18:10:18.636326,Finalizat
169,104,BOM-B200,50,464.96,2025-10-23 18:10:18.636326,
170,106,BOM-B200,13,320.04,2025-05-06 18:10:18.636326,In Procesare
171,101,BOM-A100,59,292.19,2025-08-30 18:10:18.636326,Finalizat
172,102,bom-a100,52,104.86,2025-06-26 18:10:18.636326,Finalizat
173,103,Bom-B200,23,369.51,2026-03-01 18:10:18.636326,
174,108,Bom-B200,29,428.76,2026-02-20 18:10:18.636326,Finalizat
175,104,bom-a100,40,313.23,2026-04-15 18:10:18.636326,In Procesare
176,104,Bom-B200,23,146.17,2025-04-25 18:10:18.636326,
177,108,Bom-B200,59,228.78,2025-12-29 18:10:18.636326,In Procesare
178,108,bom-a100,41,52.94,2025-05-26 18:10:18.636326,Finalizat
179,105,BOM-A100,27,466.33,2026-04-11 18:10:18.636326,Finalizat
180,103,bom-a100,25,304.61,2026-02-10 18:10:18.636326,Finalizat
181,105,BOM-A100,37,485.1,2025-09-18 18:10:18.636326,In Procesare
182,103,BOM-A100,81,109.17,2025-04-20 18:10:18.636326,Finalizat
183,109,Bom-B200,51,53.44,2025-07-21 18:10:18.636326,Finalizat
184,104,BOM-B200,56,296.56,2025-10-24 18:10:18.636326,Finalizat
185,108,bom-a100,43,495.81,2026-04-02 18:10:18.636326,Finalizat
186,101,BOM-C300,-15,451.38,2026-04-13 18:10:18.636326,Finalizat
187,109,BOM-A100,-15,441.38,2025-07-22 18:10:18.636326,Finalizat
188,110,Bom-B200,-15,462.5,2025-04-25 18:10:18.636326,Finalizat
189,106,BOM-A100,18,292.28,2025-10-15 18:10:18.636326,Finalizat
190,108,bom-a100,44,414.86,2026-04-05 18:10:18.636326,Finalizat
191,101,bom-a100,32,136.17,2026-03-25 18:10:18.636326,Finalizat
192,108,bom-a100,41,485.57,2025-07-01 18:10:18.636326,Finalizat
193,110,BOM-C300,29,474.58,2026-01-15 18:10:18.636326,
194,106,Bom-B200,43,127.66,2025-05-22 18:10:18.636326,In Procesare
195,105,bom-a100,62,250.51,2025-10-23 18:10:18.636326,In Procesare
196,104,BOM-A100,35,47.98,2025-10-31 18:10:18.636326,Finalizat
197,108,Bom-B200,50,307.56,2025-10-01 18:10:18.636326,In Procesare
198,110,Bom-B200,39,451.25,2025-07-24 18:10:18.636326,Finalizat
199,105,Bom-B200,46,496.44,2025-11-06 18:10:18.636326,Finalizat
200,109,BOM-A100,39,80.15,2025-04-24 18:10:18.636326,In Procesare
201,103,Bom-B200,34,333.91,2025-11-16 18:10:18.636326,In Procesare
202,108,BOM-A100,73,149.77,2025-07-03 18:10:18.636326,Finalizat
203,106,BOM-A100,55,393.62,2025-07-22 18:10:18.636326,In Procesare
204,108,bom-a100,57,250.12,2025-08-05 18:10:18.636326,Finalizat
205,110,BOM-C300,19,310.64,2025-08-23 18:10:18.636326,Finalizat
206,110,BOM-B200,42,154.56,2026-01-08 18:10:18.636326,In Procesare
207,105,bom-a100,54,481.0,2025-06-17 18:10:18.636326,In Procesare
208,110,Bom-B200,58,336.1,2025-08-24 18:10:18.636326,Finalizat
209,108,bom-a100,52,457.5,2025-06-03 18:10:18.636326,Finalizat
210,101,Bom-B200,-15,262.78,2025-06-11 18:10:18.636326,
211,104,BOM-A100,60,371.19,2025-08-01 18:10:18.636326,In Procesare
212,107,Bom-B200,33,200.42,2025-12-13 18:10:18.636326,Finalizat
213,107,Bom-B200,62,15.64,2025-10-29 18:10:18.636326,Finalizat
214,110,Bom-B200,45,204.3,2025-08-06 18:10:18.636326,Finalizat
215,101,BOM-A100,42,117.7,2025-12-10 18:10:18.636326,Finalizat
216,104,BOM-A100,42,89.39,2025-08-23 18:10:18.636326,Finalizat
217,104,BOM-B200,49,267.77,2026-03-19 18:10:18.636326,Finalizat
218,105,BOM-A100,15,129.71,2025-11-23 18:10:18.636326,Finalizat
219,105,BOM-A100,58,263.44,2026-01-07 18:10:18.636326,
220,103,BOM-C300,77,36.25,2025-06-16 18:10:18.636326,
221,109,Bom-B200,73,98.54,2025-05-01 18:10:18.636326,Finalizat
222,102,bom-a100,100,325.39,2025-04-30 18:10:18.636326,
223,105,BOM-C300,33,371.41,2025-12-05 18:10:18.636326,
224,101,Bom-B200,55,269.35,2025-10-14 18:10:18.636326,Finalizat
225,110,bom-a100,61,432.07,2026-01-26 18:10:18.636326,Finalizat
226,110,BOM-C300,83,78.89,2025-06-13 18:10:18.636326,Finalizat
227,104,BOM-B200,39,415.27,2026-04-04 18:10:18.636326,Finalizat
228,106,BOM-C300,-15,485.7,2025-04-19 18:10:18.636326,
229,108,bom-a100,59,343.49,2025-05-06 18:10:18.636326,Finalizat
230,106,BOM-A100,75,281.08,2025-12-24 18:10:18.636326,Finalizat
231,106,bom-a100,68,61.49,2025-09-20 18:10:18.636326,Finalizat
232,104,BOM-C300,94,259.85,2025-05-22 18:10:18.636326,
233,109,BOM-A100,70,268.51,2025-08-14 18:10:18.636326,Anulat
234,105,BOM-C300,57,198.61,2025-11-21 18:10:18.636326,
235,108,BOM-A100,39,286.76,2025-10-30 18:10:18.636326,Finalizat
236,109,BOM-A100,45,234.27,2025-12-27 18:10:18.636326,Finalizat
237,101,Bom-B200,54,397.73,2025-06-04 18:10:18.636326,Finalizat
238,109,Bom-B200,59,420.92,2025-11-11 18:10:18.636326,In Procesare
239,109,BOM-A100,50,157.0,2026-03-27 18:10:18.636326,
240,103,bom-a100,68,150.79,2026-02-08 18:10:18.636326,Finalizat
241,102,BOM-B200,30,215.05,2025-12-19 18:10:18.636326,In Procesare
242,104,BOM-C300,43,416.78,2026-02-26 18:10:18.636326,In Procesare
243,103,BOM-B200,46,286.16,2025-11-20 18:10:18.636326,Finalizat
244,106,BOM-B200,10,481.52,2025-07-25 18:10:18.636326,Finalizat
245,103,BOM-A100,28,442.16,2026-01-26 18:10:18.636326,Finalizat
246,101,Bom-B200,41,114.53,2025-04-21 18:10:18.636326,Anulat
247,103,BOM-A100,39,187.61,2025-08-09 18:10:18.636326,In Procesare
248,104,Bom-B200,60,243.85,2025-10-22 18:10:18.636326,Finalizat
249,106,BOM-A100,45,348.69,2025-08-24 18:10:18.636326,
250,105,BOM-B200,56,455.99,2025-12-23 18:10:18.636326,Finalizat
251,103,BOM-C300,59,208.8,2026-03-22 18:10:18.636326,In Procesare
252,103,BOM-A100,-15,105.11,2026-04-10 18:10:18.636326,Finalizat
253,107,bom-a100,30,97.4,2025-05-28 18:10:18.636326,
254,107,BOM-A100,24,357.29,2025-08-07 18:10:18.636326,Anulat
255,110,BOM-A100,37,22.09,2025-07-13 18:10:18.636326,Finalizat
256,101,BOM-C300,48,219.04,2026-03-27 18:10:18.636326,In Procesare
257,102,BOM-C300,-15,160.84,2026-04-06 18:10:18.636326,Anulat
258,104,BOM-B200,30,223.99,2025-12-17 18:10:18.636326,
259,109,bom-a100,81,117.43,2025-10-26 18:10:18.636326,Finalizat
260,110,BOM-C300,61,374.76,2026-04-05 18:10:18.636326,In Procesare
261,103,BOM-A100,27,117.45,2025-08-12 18:10:18.636326,Finalizat
262,109,Bom-B200,64,235.97,2025-08-24 18:10:18.636326,In Procesare
263,107,Bom-B200,53,40.13,2025-12-03 18:10:18.636326,Finalizat
264,103,BOM-C300,-15,245.47,2026-03-04 18:10:18.636326,In Procesare
265,104,BOM-A100,32,187.58,2025-11-18 18:10:18.636326,
266,105,BOM-B200,55,273.45,2026-02-05 18:10:18.636326,Finalizat
267,102,BOM-C300,38,130.01,2025-11-04 18:10:18.636326,Finalizat
268,104,BOM-A100,48,148.48,2025-09-17 18:10:18.636326,Finalizat
269,106,BOM-B200,75,315.2,2025-12-09 18:10:18.636326,Finalizat
270,109,bom-a100,87,158.47,2025-05-06 18:10:18.636326,Anulat
271,109,bom-a100,49,148.76,2025-07-10 18:10:18.636326,Finalizat
272,105,BOM-C300,51,239.24,2026-02-15 18:10:18.636326,Finalizat
273,104,BOM-C300,66,164.68,2025-05-17 18:10:18.636326,In Procesare
274,110,BOM-C300,22,391.43,2025-07-15 18:10:18.636326,Finalizat
275,101,BOM-C300,50,201.07,2025-07-28 18:10:18.636326,Finalizat
276,105,BOM-A100,57,184.04,2025-11-14 18:10:18.636326,
277,103,BOM-C300,59,271.62,2026-03-01 18:10:18.636326,Finalizat
278,106,BOM-A100,51,441.64,2025-10-21 18:10:18.636326,Finalizat
279,103,BOM-B200,83,27.46,2025-09-27 18:10:18.636326,Finalizat
280,103,BOM-A100,45,65.8,2025-09-23 18:10:18.636326,Finalizat
281,104,BOM-B200,63,153.14,2025-07-29 18:10:18.636326,Finalizat
282,109,BOM-C300,44,274.78,2025-06-20 18:10:18.636326,
283,104,BOM-A100,51,145.68,2025-12-31 18:10:18.636326,Finalizat
284,106,BOM-B200,98,135.17,2025-06-04 18:10:18.636326,Finalizat
285,105,BOM-C300,44,435.41,2025-08-09 18:10:18.636326,In Procesare
286,103,Bom-B200,49,443.63,2025-09-28 18:10:18.636326,In Procesare
287,110,BOM-A100,32,241.28,2026-03-31 18:10:18.636326,In Procesare
288,102,BOM-A100,68,123.51,2026-03-11 18:10:18.636326,In Procesare
289,110,BOM-B200,85,311.75,2025-08-18 18:10:18.636326,Finalizat
290,106,BOM-B200,64,226.94,2026-01-13 18:10:18.636326,Finalizat
291,108,BOM-B200,42,296.1,2025-04-16 18:10:18.636326,Finalizat
292,103,BOM-C300,61,481.98,2026-01-31 18:10:18.636326,Finalizat
293,108,BOM-C300,51,26.59,2025-07-05 18:10:18.636326,Finalizat
294,107,BOM-B200,47,98.49,2025-07-22 18:10:18.636326,Finalizat
295,109,BOM-A100,46,261.71,2025-05-29 18:10:18.636326,Finalizat
296,109,bom-a100,50,378.36,2025-12-16 18:10:18.636326,Finalizat
297,110,bom-a100,59,191.26,2026-02-10 18:10:18.636326,Finalizat
298,103,bom-a100,43,57.83,2025-10-21 18:10:18.636326,In Procesare
299,104,BOM-C300,38,12.34,2026-01-18 18:10:18.636326,Finalizat
300,103,Bom-B200,44,10.82,2025-06-02 18:10:18.636326,Finalizat
301,102,BOM-C300,-15,294.95,2025-09-01 18:10:18.636326,Finalizat
302,105,BOM-B200,40,231.12,2026-04-05 18:10:18.636326,Finalizat
303,107,Bom-B200,44,121.19,2026-04-06 18:10:18.636326,Finalizat
304,104,BOM-A100,48,313.37,2025-08-04 18:10:18.636326,Finalizat
305,101,BOM-A100,40,256.78,2025-06-15 18:10:18.636326,Finalizat
306,109,Bom-B200,35,385.86,2025-07-05 18:10:18.636326,Finalizat
307,102,bom-a100,8,384.24,2025-06-06 18:10:18.636326,Finalizat
308,106,BOM-C300,58,360.82,2026-01-25 18:10:18.636326,
309,102,BOM-C300,61,438.33,2025-06-22 18:10:18.636326,Finalizat
310,102,Bom-B200,49,335.65,2025-11-07 18:10:18.636326,
311,109,bom-a100,42,377.98,2026-03-06 18:10:18.636326,Finalizat
312,102,BOM-C300,42,158.81,2025-09-24 18:10:18.636326,Finalizat
313,103,BOM-C300,51,64.52,2025-07-06 18:10:18.636326,Finalizat
314,105,BOM-A100,57,140.37,2026-03-02 18:10:18.636326,Finalizat
315,109,Bom-B200,78,44.45,2025-12-04 18:10:18.636326,Finalizat
316,104,bom-a100,30,289.13,2025-12-28 18:10:18.636326,In Procesare
317,105,BOM-B200,57,63.26,2025-08-22 18:10:18.636326,In Procesare
318,108,bom-a100,41,76.48,2025-12-29 18:10:18.636326,
319,102,BOM-A100,54,293.8,2026-04-11 18:10:18.636326,
320,103,bom-a100,27,353.37,2025-09-05 18:10:18.636326,Finalizat
321,101,BOM-B200,51,19.45,2026-03-16 18:10:18.636326,Finalizat
322,102,BOM-B200,59,348.48,2026-03-24 18:10:18.636326,In Procesare
323,108,bom-a100,35,260.51,2026-04-02 18:10:18.636326,Finalizat
324,104,bom-a100,53,38.72,2025-08-29 18:10:18.636326,In Procesare
325,101,BOM-B200,41,231.36,2025-09-06 18:10:18.636326,In Procesare
326,104,BOM-B200,79,71.64,2026-02-14 18:10:18.636326,Finalizat
327,104,BOM-C300,58,233.19,2025-11-21 18:10:18.636326,Finalizat
328,101,BOM-A100,44,376.81,2025-07-03 18:10:18.636326,Finalizat
329,102,Bom-B200,49,470.02,2026-03-16 18:10:18.636326,
330,105,Bom-B200,57,51.68,2025-11-18 18:10:18.636326,
331,105,bom-a100,11,264.71,2026-04-06 18:10:18.636326,Finalizat
332,109,BOM-C300,53,398.45,2025-07-11 18:10:18.636326,
333,108,BOM-B200,29,343.22,2026-02-01 18:10:18.636326,
334,101,BOM-A100,30,52.56,2026-01-18 18:10:18.636326,Finalizat
335,103,bom-a100,65,264.79,2025-12-01 18:10:18.636326,Finalizat
336,105,BOM-B200,57,20.29,2026-03-29 18:10:18.636326,
337,110,BOM-C300,65,226.86,2026-04-09 18:10:18.636326,Finalizat
338,110,BOM-B200,21,59.67,2025-09-29 18:10:18.636326,Finalizat
339,103,BOM-B200,72,392.64,2025-07-29 18:10:18.636326,Finalizat
340,103,BOM-B200,57,99.53,2025-04-18 18:10:18.636326,Anulat
341,107,BOM-C300,34,430.56,2025-06-02 18:10:18.636326,Finalizat
342,103,BOM-B200,68,77.28,2026-03-29 18:10:18.636326,In Procesare
343,104,bom-a100,57,255.26,2025-09-13 18:10:18.636326,Finalizat
344,105,Bom-B200,61,214.33,2025-06-06 18:10:18.636326,In Procesare
345,101,BOM-A100,49,331.32,2025-09-30 18:10:18.636326,In Procesare
346,103,Bom-B200,97,177.27,2025-10-08 18:10:18.636326,Finalizat
347,107,BOM-C300,58,25.83,2025-06-11 18:10:18.636326,In Procesare
348,108,BOM-C300,51,42.39,2025-05-08 18:10:18.636326,Finalizat
349,110,BOM-A100,70,139.89,2025-09-20 18:10:18.636326,
350,104,bom-a100,61,370.21,2025-06-27 18:10:18.636326,Finalizat
351,109,bom-a100,-15,285.6,2025-12-04 18:10:18.636326,Finalizat
352,106,BOM-A100,46,106.76,2025-12-15 18:10:18.636326,Finalizat
353,110,BOM-C300,23,459.11,2025-10-29 18:10:18.636326,Finalizat
354,103,bom-a100,30,248.22,2025-08-14 18:10:18.636326,Finalizat
355,103,BOM-A100,63,474.29,2025-12-21 18:10:18.636326,
356,103,Bom-B200,79,436.75,2025-07-13 18:10:18.636326,Finalizat
357,109,bom-a100,84,74.36,2026-01-26 18:10:18.636326,Finalizat
358,105,BOM-A100,65,58.38,2025-10-04 18:10:18.636326,Finalizat
359,107,BOM-B200,71,477.54,2025-12-24 18:10:18.636326,Finalizat
360,102,BOM-A100,20,467.07,2025-04-21 18:10:18.636326,
361,104,BOM-C300,80,137.67,2025-04-25 18:10:18.636326,Finalizat
362,102,BOM-A100,94,482.62,2026-03-12 18:10:18.636326,Finalizat
363,101,Bom-B200,42,467.74,2025-08-07 18:10:18.636326,Finalizat
